vertex_id:int64,label_id:int
1,1001
2,1001
3,1001
4,1001
5,1001
6,1001
7,1001
8,1001
9,1001
10,1001
11,1001
12,1001
13,1001
14,1001
15,1001
16,1001
17,1001
18,1001
19,1001
20,1001
21,1001
22,1001
23,1001
24,1001
25,1001
26,1001
27,1001
28,1001
29,1001
30,1001
31,1001
32,1001
33,1001
34,1001
35,1001
36,1001
37,1001
38,1001
39,1001
40,1001
41,1001
42,1001
43,1001
44,1001
45,1001
46,1001
47,1001
48,1001
49,1001
50,1001
51,1001
52,1001
53,1001
54,1001
55,1001
56,1001
57,1001
58,1001
59,1001
60,1001
61,1001
62,1001
63,1001
64,1001
65,1001
66,1001
67,1001
68,1001
69,1001
70,1001
71,1001
72,1001
73,1001
74,1001
75,1001
76,1001
77,1001
78,1001
79,1001
80,1001
81,1001
82,1001
83,1001
84,1001
85,1001
86,1001
87,1001
88,1001
89,1001
90,1001
91,1001
92,1001
93,1001
94,1001
95,1001
96,1001
97,1001
98,1001
99,1001
100,1001
101,1001
102,1001
103,1001
104,1001
105,1001
106,1001
107,1001
108,1001
109,1001
110,1001
111,1001
112,1001
113,1001
114,1001
115,1001
116,1001
117,1001
118,1001
119,1001
120,1001
121,1001
122,1001
123,1001
124,1001
125,1001
126,1001
127,1001
128,1001
129,1001
130,1001
131,1001
132,1001
133,1001
134,1001
135,1001
136,1001
137,1001
138,1001
139,1001
140,1001
141,1001
142,1001
143,1001
144,1001
145,1001
146,1001
147,1001
148,1001
149,1001
150,1001
151,1001
152,1001
153,1001
154,1001
155,1001
156,1001
157,1001
158,1001
159,1001
160,1001
161,1001
162,1001
163,1001
164,1001
165,1001
166,1001
167,1001
168,1001
169,1001
170,1001
171,1001
172,1001
173,1001
174,1001
175,1001
176,1001
177,1001
178,1001
179,1001
180,1001
181,1001
182,1001
183,1001
184,1001
185,1001
186,1001
187,1001
188,1001
189,1001
190,1001
191,1001
192,1001
193,1001
194,1001
195,1001
196,1001
197,1001
198,1001
199,1001
200,1001
201,1001
202,1001
203,1001
204,1001
205,1001
206,1001
207,1001
208,1001
209,1001
210,1001
211,1001
212,1001
213,1001
214,1001
215,1001
216,1001
217,1001
218,1001
219,1001
220,1001
221,1001
222,1001
223,1001
224,1001
225,1001
226,1001
227,1001
228,1001
229,1001
230,1001
231,1001
232,1001
233,1001
234,1001
235,1001
236,1001
237,1001
238,1001
239,1001
240,1001
241,1001
242,1001
243,1001
244,1001
245,1001
246,1001
247,1001
248,1001
249,1001
250,1001
251,1001
252,1001
253,1001
254,1001
255,1001
256,1001
257,1001
258,1001
259,1001
260,1001
261,1001
262,1001
263,1001
264,1001
265,1001
266,1001
267,1001
268,1001
269,1001
270,1001
271,1001
272,1001
273,1001
274,1001
275,1001
276,1001
277,1001
278,1001
279,1001
280,1001
281,1001
282,1001
283,1001
284,1001
285,1001
286,1001
287,1001
288,1001
289,1001
290,1001
291,1001
292,1001
293,1001
294,1001
295,1001
296,1001
297,1001
298,1001
299,1001
300,1001
301,1001
302,1001
303,1001
304,1001
305,1001
306,1001
307,1001
308,1001
309,1001
310,1001
311,1001
312,1001
313,1001
314,1001
315,1001
316,1001
317,1001
318,1001
319,1001
320,1001
321,1001
322,1001
323,1001
324,1001
325,1001
326,1001
327,1001
328,1001
329,1001
330,1001
331,1001
332,1001
333,1001
334,1001
335,1001
336,1001
337,1001
338,1001
339,1001
340,1001
341,1001
342,1001
343,1001
344,1001
345,1001
346,1001
347,1001
348,1001
349,1001
350,1001
351,1001
352,1001
353,1001
354,1001
355,1001
356,1001
357,1001
358,1001
359,1001
360,1001
361,1001
362,1001
363,1001
364,1001
365,1001
366,1001
367,1001
368,1001
369,1001
370,1001
371,1001
372,1001
373,1001
374,1001
375,1001
376,1001
377,1001
378,1001
379,1001
380,1001
381,1001
382,1001
383,1001
384,1001
385,1001
386,1001
387,1001
388,1001
389,1001
390,1001
391,1001
392,1001
393,1001
394,1001
395,1001
396,1001
397,1001
398,1001
399,1001
400,1001
401,1001
402,1001
403,1001
404,1001
405,1001
406,1001
407,1001
408,1001
409,1001
410,1001
411,1001
412,1001
413,1001
414,1001
415,1001
416,1001
417,1001
418,1001
419,1001
420,1001
421,1001
422,1001
423,1001
424,1001
425,1001
426,1001
427,1001
428,1001
429,1001
430,1001
431,1001
432,1001
433,1001
434,1001
435,1001
436,1001
437,1001
438,1001
439,1001
440,1001
441,1001
442,1001
443,1001
444,1001
445,1001
446,1001
447,1001
448,1001
449,1001
450,1001
451,1001
452,1001
453,1001
454,1001
455,1001
456,1001
457,1001
458,1001
459,1001
460,1001
461,1001
462,1001
463,1001
464,1001
465,1001
466,1001
467,1001
468,1001
469,1001
470,1001
471,1001
472,1001
473,1001
474,1001
475,1001
476,1001
477,1001
478,1001
479,1001
480,1001
481,1001
482,1001
483,1001
484,1001
485,1001
486,1001
487,1001
488,1001
489,1001
490,1001
491,1001
492,1001
493,1001
494,1001
495,1001
496,1001
497,1001
498,1001
499,1001
500,1001
501,1001
502,1001
503,1001
504,1001
505,1001
506,1001
507,1001
508,1001
509,1001
510,1001
511,1001
512,1001
513,1001
514,1001
515,1001
516,1001
517,1001
518,1001
519,1001
520,1001
521,1001
522,1001
523,1001
524,1001
525,1001
526,1001
527,1001
528,1001
529,1001
530,1001
531,1001
532,1001
533,1001
534,1001
535,1001
536,1001
537,1001
538,1001
539,1001
540,1001
541,1001
542,1001
543,1001
544,1001
545,1001
546,1001
547,1001
548,1001
549,1001
550,1001
551,1001
552,1001
553,1001
554,1001
555,1001
556,1001
557,1001
558,1001
559,1001
560,1001
561,1001
562,1001
563,1001
564,1001
565,1001
566,1001
567,1001
568,1001
569,1001
570,1001
571,1001
572,1001
573,1001
574,1001
575,1001
576,1001
577,1001
578,1001
579,1001
580,1001
581,1001
582,1001
583,1001
584,1001
585,1001
586,1001
587,1001
588,1001
589,1001
590,1001
591,1001
592,1001
593,1001
594,1001
595,1001
596,1001
597,1001
598,1001
599,1001
600,1001
601,1001
602,1001
603,1001
604,1001
605,1001
606,1001
607,1001
608,1001
609,1001
610,1001
611,1001
612,1001
613,1001
614,1001
615,1001
616,1001
617,1001
618,1001
619,1001
620,1001
621,1001
622,1001
623,1001
624,1001
625,1001
626,1001
627,1001
628,1001
629,1001
630,1001
631,1001
632,1001
633,1001
634,1001
635,1001
636,1001
637,1001
638,1001
639,1001
640,1001
641,1001
642,1001
643,1001
644,1001
645,1001
646,1001
647,1001
648,1001
649,1001
650,1001
651,1001
652,1001
653,1001
654,1001
655,1001
656,1001
657,1001
658,1001
659,1001
660,1001
661,1001
662,1001
663,1001
664,1001
665,1001
666,1001
667,1001
668,1001
669,1001
670,1001
671,1001
672,1001
673,1001
674,1001
675,1001
676,1001
677,1001
678,1001
679,1001
680,1001
681,1001
682,1001
683,1001
684,1001
685,1001
686,1001
687,1001
688,1001
689,1001
690,1001
691,1001
692,1001
693,1001
694,1001
695,1001
696,1001
697,1001
698,1001
699,1001
700,1001
701,1001
702,1001
703,1001
704,1001
705,1001
706,1001
707,1001
708,1001
709,1001
710,1001
711,1001
712,1001
713,1001
714,1001
715,1001
716,1001
717,1001
718,1001
719,1001
720,1001
721,1001
722,1001
723,1001
724,1001
725,1001
726,1001
727,1001
728,1001
729,1001
730,1001
731,1001
732,1001
733,1001
734,1001
735,1001
736,1001
737,1001
738,1001
739,1001
740,1001
741,1001
742,1001
743,1001
744,1001
745,1001
746,1001
747,1001
748,1001
749,1001
750,1001
751,1001
752,1001
753,1001
754,1001
755,1001
756,1001
757,1001
758,1001
759,1001
760,1001
761,1001
762,1001
763,1001
764,1001
765,1001
766,1001
767,1001
768,1001
769,1001
770,1001
771,1001
772,1001
773,1001
774,1001
775,1001
776,1001
777,1001
778,1001
779,1001
780,1001
781,1001
782,1001
783,1001
784,1001
785,1001
786,1001
787,1001
788,1001
789,1001
790,1001
791,1001
792,1001
793,1001
794,1001
795,1001
796,1001
797,1001
798,1001
799,1001
800,1001
801,1001
802,1001
803,1001
804,1001
805,1001
806,1001
807,1001
808,1001
809,1001
810,1001
811,1001
812,1001
813,1001
814,1001
815,1001
